	classe
B027	1
A092	2
A072	2
A265	2
A161	2
A235	2
B059	1
B093	1
A036	2
A021	2
B002	1
B028	1
B084	1
A147	2
A016	2
B087	1
B022	1
A104	2
A045	2
B128	1
A138	2
A162	2
A068	2
A256	2
A143	2
A100	2
A148	2
B081	1
B049	1
B056	1
B143	1
A159	2
A252	2
A087	2
B151	1
A251	2
A244	2
B035	1
B014	1
B096	1
A232	2
A242	2
B037	1
A078	2
A103	2
B024	1
A152	2
A163	2
B148	1
A123	2
A243	2
B016	1
A149	2
B071	1
A108	2
B060	1
B001	1
A109	2
B125	1
A151	2
B052	1
A018	2
B142	1
B078	1
B089	1
A155	2
B103	1
A005	2
B050	1
A153	2
B107	1
A029	2
A231	2
A071	2
A135	2
B048	1
B067	1
A139	2
A134	2
B079	1
B099	1
A140	2
B150	1
A066	2
A062	2
A196	2
B095	1
A205	2
A110	2
B077	1
A146	2
A132	2
B065	1
B069	1
B126	1
A091	2
B145	1
B083	1
B051	1
B054	1
B072	1
B121	1
B149	1
A032	2
B098	1
B062	1
B120	1
A096	2
A157	2
A038	2
A238	2
B137	1
A230	2
B045	1
B058	1
B129	1
A017	2
A027	2
A033	2
A204	2
A011	2
A061	2
B109	1
B038	1
A246	2
A054	2
B092	1
B100	1
A010	2
A203	2
B097	1
B070	1
A113	2
A114	2
A137	2
A112	2
B047	1
B026	1
A075	2
B061	1
B141	1
B088	1
A102	2
A131	2
B003	1
B040	1
B006	1
B146	1
B015	1
A047	2
B104	1
A176	2
A150	2
B012	1
A086	2
A122	2
A221	2
B105	1
A090	2
A076	2
A141	2
A111	2
B074	1
B136	1
B036	1
A247	2
A219	2
A164	2
B113	1
B139	1
B131	1
B114	1
B021	1
B119	1
B053	1
B122	1
B063	1
B007	1
B043	1
A106	2
A081	2
B144	1
B117	1
B046	1
B102	1
B115	1
B066	1
A128	2
A042	2
A234	2
A116	2
B010	1
B080	1
B042	1
A158	2
A024	2
A074	2
A101	2
A046	2
A202	2
B118	1
B086	1
B108	1
A053	2
B019	1
B110	1
B106	1
